[INFO] [1781617343.087341651] [navigation_fusion]: Navigation fusion node initialized
[INFO] [1781617343.087377248] [navigation_fusion]: GNSS timeout: 2.0 sec, Min satellites: 8
[WARN] [1781617343.107414170] [navigation_fusion]: GNSS lost! Switching to odometry mode (time: 0.0 sec)
[INFO] [1781617718.907456444] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 187.86 m | Time: 375.8 sec
[INFO] [1781617723.927432246] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 190.37 m | Time: 380.8 sec
[INFO] [1781617728.927442451] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 192.87 m | Time: 385.8 sec
[INFO] [1781617733.947422034] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 195.38 m | Time: 390.9 sec
[INFO] [1781617738.947433038] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 197.88 m | Time: 395.9 sec
[INFO] [1781617743.947437205] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 200.38 m | Time: 400.9 sec
[INFO] [1781617748.967434648] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 202.89 m | Time: 405.9 sec
[INFO] [1781617753.987440853] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 205.40 m | Time: 410.9 sec
[INFO] [1781617759.007432543] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 207.91 m | Time: 415.9 sec
[INFO] [1781617764.027434014] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 210.42 m | Time: 420.9 sec
[INFO] [1781617769.027441052] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 212.92 m | Time: 425.9 sec
[INFO] [1781617774.047438598] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 215.43 m | Time: 431.0 sec
[INFO] [1781617779.067432688] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 217.94 m | Time: 436.0 sec
[INFO] [1781617784.087423572] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 220.45 m | Time: 441.0 sec
[INFO] [1781617789.087439497] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 222.95 m | Time: 446.0 sec
[INFO] [1781617794.107432082] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 225.46 m | Time: 451.0 sec
[INFO] [1781617799.107476617] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 227.96 m | Time: 456.0 sec
[INFO] [1781617804.127438869] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 230.47 m | Time: 461.0 sec
[INFO] [1781617809.147436589] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 232.98 m | Time: 466.1 sec
[INFO] [1781617814.147442731] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 235.48 m | Time: 471.1 sec
[INFO] [1781617819.147452465] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 237.98 m | Time: 476.1 sec
[INFO] [1781617822.855110199] [rclcpp]: signal_handler(SIGINT/SIGTERM)
