[INFO] [1781550878.914746371] [gkv2_driver]: GKV2 Driver Node initialized with Boost.Asio.
[INFO] [1781550878.916001501] [gkv2_driver]: UART port /dev/ttyV0 opened at 921600 baud.
[INFO] [1781550889.337908743] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550889.358001369] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550889.378082083] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550889.398165372] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550889.418245564] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550889.438326399] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550889.458412984] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550889.478494719] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550889.498569402] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550889.518651839] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550889.538733504] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550889.558806564] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550889.578882819] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550889.598963423] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550889.619040310] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550889.639139628] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550889.659223939] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550889.679313439] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550889.699411997] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550889.719505154] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550889.739604693] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550889.759680107] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550889.779765019] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550889.799853808] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550889.819945081] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550889.840025435] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550889.860104906] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550889.880190529] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550889.900267105] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550889.920361154] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550889.940413715] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550889.960494389] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550889.980574631] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550890.000665084] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550890.020758541] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550890.040838363] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550890.060929647] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550890.081001514] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550890.101076688] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550890.121161068] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550890.141242965] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550890.161315924] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550890.181400976] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550890.201475438] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550890.221553116] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550890.241642476] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550890.261740282] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550890.281832387] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550890.301925825] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550890.322018601] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550890.342097612] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550890.362175150] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550890.382254902] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550890.402359751] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550890.422419346] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550890.442493056] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550890.462569492] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550890.482641399] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550890.502714819] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550890.522794812] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550890.542868101] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550890.562939999] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550890.583013739] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550890.603086859] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550890.623163215] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550890.643232076] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
